,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Název díla v původním písmu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel",Nakadatel v původním písmu,"Edice, svazek",Název edice v původním písmu,Údaje o časopiseckém vydání,Název časopisu v původním písmu,Počet stran,Rok,ISBN,Další role,Další role v původním písmu,Zdroj či odkaz,Volná poznámka,technická poznámka,Sloupec1,non-fiction
201,202,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O megalyteros Tsechos syngrafeas Jaroslav Hašek,Ο μεγαλύτερος Τσέχος συγγραφέας Γιάροσλαβ Χάσεκ,nan,Největší spisovatel český Jaroslav Hašek,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
202,203,část knihy,201,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",O sosmenos,Ο σωσμένος,,Zachráněn,,,,,,,,,"Karikatury, 213, 5/1/1910",,,,,,,,,,nan,nan
203,204,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O kleftis dolofonos enopion tu dikastiriu,Ο κλέφτης δολοφόνος ενώπιον του δικαστηρίου,nan,Loupežný vrah před soudem,nan,nan,nan,nan,nan,nan,nan,nan,"Komuna, 1/1, 3/3/1907",nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
204,205,část knihy,201,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)","Ime o Serinek, enas Jermanos!","Είμαι ο Σέρινεκ, ένας Γερμανός!",,"""Ich bin Serinek, ein Deutscher!""",,,,,,,,,"Karikatury, 3-5, 30/1/1911",,,,,,,,,,nan,nan
205,206,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Alkooliko idyllio,Αλκοολικό ειδύλλιο,nan,Alkoholistická idylka,nan,nan,nan,nan,nan,nan,nan,nan,Karikatury 1912,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
206,207,část knihy,201,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",All right,,,All right,,,,,,,,,"Svetozor, 24/10/1913",,,,,,,,,,nan,nan
207,208,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O Frands to guruni,Ο Φράντς το γουρούνι,nan,Franz Prase,nan,nan,nan,nan,nan,nan,nan,nan,"Humoristické listy 5, 4/6, 27/1/1911",nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
208,209,část knihy,201,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I machitikotita ton melon tis Viennezikis Christianokinonikis Enosis,Η μαχητικότητα των μελών της Βιεννέζικης Χριστιανοκοινωνικής Ένωσης,,Bojovnost vídeňských křesťanských sociálů,,,,,,,,,"Karikatury, 23/12/1912",,,,,,,,,,nan,nan
209,210,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Synendefxi me ton kyrio logokriti,Συνέντευξη με τον κύριο λογοκριτή,nan,Interview s panem censorem,nan,nan,nan,nan,nan,nan,nan,nan,"Karikatury, 3/43, 11/12/1911",nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
210,211,část knihy,201,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)","Ja tus dikastes, tus katigorumenus ke tus katadikasthendes","Για τους δικαστές, τους κατηγορούμενους και τους καταδικασθέντες",,"O soudcích, lidech souzených a odsouzených",,,,,,,,,"Národní obzor, 629, 7/6/1912",,,,,,,,,,nan,nan
211,212,část knihy,201,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Sto majariko tachydromio,Στο μαγυάρικο ταχυδρομείο,nan,Na maďarské poště,nan,nan,nan,nan,nan,nan,nan,nan,"Narodne listy, 42, 275, 6/10/1902",nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
212,213,kniha,,antologie,překlad,,"Hašek, Jaroslav (jk01040097)",Omorfos kosmos ithikos : Diijimata,Όμορφος κόσμος ηθικός : Διηγήματα,,originál neexistuje,gre,cze,,,Atény (Řecko) : Kastaniotis,Καστανιώτης,Xeni logotechnia,Ξένη λογοτεχνία,,,179,1980,,"Petsinis, Lambros (aui, trl)","Πετσίνης, Λάμβρος",,"""I zoi ke to ergo tu Jaroslav Hašek tu Lambru Petsini""",,nan,nan
213,214,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",«Aftoviografia» tu megalyteru... tsechu syngrafea,«Αυτοβιογραφία» του μεγαλύτερου... τσέχου συγγραφέα,nan,Největší spisovatel český Jaroslav Hašek,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
214,215,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Enas ethnoprodotis sto Siotembor,Ένας εθνοπροδότης στο Σιότεμπορ,,Zrádce národa v Chotěboři,,,,,,,,,,,,,,,,,,,nan,nan
215,216,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Pos xenajithika sto Noimburng tis Vavarias,Πώς ξεναγήθηκα στο Νόϊμπουργκ της Βαυαρίας,nan,Průvodčí cizinců ve švábském městě Neuburgu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
216,217,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",To pathima tu Kaiu Andoniu Trossulu,Το πάθημα του Κάϊου Αντονίου Τρόσσουλου,,Příhoda Gaia Antonia Trossula,,,,,,,,,,,,,,,,,,,nan,nan
217,218,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O psaras Gulaz,Ο ψαράς Γκούλαζ,nan,Rybář Gulaj : Črta z Haliče,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
218,219,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I jida ke to englima eschatis prodosias,Η γίδα και το έγκλημα έσχατης προδοσίας,,Oslí historie z Bosny,,,,,,,,,,,,,,,,,,,nan,nan
219,220,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Diagonisma sta latinika,Διαγώνισμα στα λατινικά,nan,Pan Florentin contra Chocholka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
220,221,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I stratiotiki logotechnia sta pedika vivlia,Η στρατιωτική λογοτεχνία στα παιδικά βιβλία,,Vojenské články do čítanek pro děti,,,,,,,,,,,,,,,,,,,nan,nan
221,222,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Erotas sti Mezomuria,Έρωτας στη Μεζομουρία,nan,Láska v Mezimuří,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
222,223,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kinoniki adikia,Κοινωνική αδικία,,Stavovské rozdíly,,,,,,,,,,,,,,,,,,,nan,nan
223,224,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Mia eschri synomosia,Μια αισχρή συνωμοσία,nan,Trapná státní aféra,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
224,225,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I diatimisi tis zois,Η διατίμηση της ζωής,,Důlní katastrofa,,,,,,,,,,,,,,,,,,,nan,nan
225,226,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Pos pandrepsane tin aderfi mu,Πώς παντρέψανε την αδερφή μου,nan,Pepíček Nový vypravuje o zasnoubení své sestry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
226,227,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Anamesa stus vivliofilus,Ανάμεσα στους βιβλιόφιλους,,Mezi bibliofily,,,,,,,,,,,,,,,,,,,nan,nan
227,228,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O katholikos typos,Ο καθολικός τύπος,nan,O katolickém tisku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
228,229,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Englima... ke timoria!,Έγκλημα... και τιμωρία!,,Nad jezerem Blatenským : Črta z Uher,,,,,,,,,,,,,,,,,,,nan,nan
229,230,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ta kinonika dramata tu astiku typu,Τα κοινωνικά δράματα του αστικού τύπου,nan,Osiřelé dítě a tajemná jeho matka : Pohnutlivá historie měšťáckého tisku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
230,231,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Enas pateras tu Ethnus,Ένας πατέρας του Έθνους,,Agrární idyla,,,,,,,,,,,,,,,,,,,nan,nan
231,232,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ikonomiki krisi,Οικονομική κρίση,nan,Finanční tíšeň,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
232,233,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Endimos lopodytis,Έντιμος λωποδύτης,,Výprava zloděje Šejby,,,,,,,,,,,,,,,,,,,nan,nan
233,234,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Pos prostateftike i dimosia edos apo ta pornografimata,Πώς προστατεύτηκε η δημόσια αιδώς από τα πορνογραφήματα,nan,Nemravné kalendáře,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
234,235,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Agathoerjia,Αγαθοεργία,,Dobročinnost,,,,,,,,,,,,,,,,,,,nan,nan
235,236,část knihy,213,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Drimytati nota diamartyrias,Δριμύτατη νότα διαμαρτυρίας,nan,Činnost moderního diplomata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
236,237,část knihy,213,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I diki tu Pater Ondrei ston allo kosmo,Η δίκη του Πάτερ Όντρεϊ στον άλλο κόσμο,,Hřích faráře Ondřeje,,,,,,,,,,,,,,,,,,,nan,nan
237,238,kniha,nan,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Peripeties ston kokkino strato,Περιπέτειες στον κόκκινο στρατό,Metafrasi ap' ta gallika Christina Korondzi,Za války i za Sovětů v Rusku,gre,cze,fre,nan,Atény (Řecko) : Korondzi,Κοροντζή,nan,nan,nan,nan,77,2015,978-618-5042-16-5,"Korondzi, Christina (trl) § Korondzis, Kostas (aui)","Κοροντζή, Χριστίνα § Κοροντζής, Κώστας",nan,1. vydání,nan,nan,nan
238,239,část knihy,238,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Stratiotikos diikitis tis polis tis Bungulma,Στρατιωτικός διοικητής της πόλης της Μπουγκούλμα,,Velitelem města Bugulmy,,,,,,,,,,,,,,,,,,,nan,nan
239,240,část knihy,238,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ypaspistis tu stratiotiku diikiti tis polis tis Bungulma,Υπασπιστής του στρατιωτικού διοικητή της πόλης της Μπουγκούλμα,nan,Adjutantem velitele města Bugulmy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
240,241,část knihy,238,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I Litania tu Stavru,Η Λιτανεία του Σταυρού,,"""Krestný chod""",,,,,,,,,,,,,,,,,,,nan,nan
241,242,část knihy,238,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Dyskolies sti stratijiki,Δυσκολίες στη στρατηγική,nan,V strategických nesnázích,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
242,243,část knihy,238,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Doxasmenes meres tis Bungulma,Δοξασμένες μέρες της Μπουγκούλμα,,Slavné dny Bugulmy,,,,,,,,,,,,,,,,,,,nan,nan
243,244,část knihy,238,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Nei kindyni,Νέοι κίνδυνοι,nan,Nová nebezpečí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
244,245,část knihy,238,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Ta choria Potemkin,Τα χωριά Ποτέμκιν,,Potěmkinovy vesnice,,,,,,,,,,,,,,,,,,,nan,nan
245,246,část knihy,238,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Provlimata me tus fylakismenus,Προβλήματα με τους φυλακισμένους,nan,Nesnáze se zajatci,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
246,247,část knihy,238,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Enopion tu epanastatiku dikastiriu tu anatoliku metopu,Ενώπιον του επαναστατικού δικαστήριου του ανατολικού μετώπου,,Před revolučním tribunálem východní fronty,,,,,,,,,,,,,,,,,,,nan,nan
247,248,kniha,nan,antologie,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ta mystika tis paramonis mu stin Rosia : Diijimata,Τα μυστικά της παραμονής μου στην Ρωσία : Διηγήματα,nan,nan,gre,cze,nan,Tajemství mého pobytu v Rusku,Atény (Řecko) : Synchroni epochi–Odijitis,Σύγχρονη εποχή–Οδηγητής,nan,nan,nan,nan,215,1987,nan,"Lada, Josef (ill) § Fniokova-Papadopulu, Milena (aui) § Papadopulos, Lysimachos (trl)","Lada, Josef (ill) § Φνιόκοβα-Παπαδοπούλου, Μίλενα § Παπαδόπουλος, Λυσίμαχος",nan,"Předloha část sbírky Tajemství mého pobytu v Rusku a další povídky § Fniokova-Papadopulu, Milena : ""Josef Lada : O skitsografos tu Sveik"" § ""Úvod : O Jaroslav Hašek : Stratiotis tis epanastasis"" § ""Apo ti viografia tu Jaroslav Hašek""",nan,nan,nan
248,249,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Istoria ja to portreto tu aftokratora Frangisku Iosif tu A',Ιστορία για το πορτραίτο του αυτοκράτορα Φραγκίσκου Ιωσήφ του Α',,Povídka o obrazu císaře Františka Josefa I.,,,,,,,,,,,,,,,,,,,nan,nan
249,250,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",I peripeties tu k. Churt,Οι περιπέτειες του κ. Χουρτ,nan,Osudy pana Hurta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
250,251,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Ti numero na 'chun i sverki tus?,Τι νούμερο να 'χουν οι σβέρκοι τους;,,Kolik kdo má kolem krku,,,,,,,,,,,,,,,,,,,nan,nan
251,252,část knihy,248,úryvek,překlad,nan,"Hašek, Jaroslav (jk01040097)",O kalos stratiotis Sveik stin echmalosia,Ο καλός στρατιώτης Σβέικ στην αιχμαλωσία,nan,Dobrý voják Švejk v zajetí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,kapitola XIV,nan,nan,nan
252,253,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Gramma apo to metopo,Γράμμα από το μέτωπο,,Dopis z fronty : 25. září 1916,,,,,,,,,,,,,,,,,,,nan,nan
253,254,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Pros olus tus Tsechoslovakus,Προς όλους τους Τσεχοσλοβάκους,nan,Všem Čechoslovákům,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
254,255,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",To tsechiko zitima,Το τσέχικο ζήτημα,,Česká otázka,,,,,,,,,,,,,,,,,,,nan,nan
255,256,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",To chameno klimakio,Το χαμένο κλιμάκιο,nan,Ztracený ešalon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
256,257,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Epetiaki anamnisi,Επετειακή ανάμνηση,,Jubilejní vzpomínka,,,,,,,,,,,,,,,,,,,nan,nan
257,258,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Apo to imerolojo astu politi tis Ufa,Από το ημερολόγιο αστού πολίτη της Ούφα,nan,Z deníku ufského měšťáka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
258,259,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I tragodia enos papa,Η τραγωδία ενός παπά,,Tragédie jednoho popa,,,,,,,,,,,,,,,,,,,nan,nan
259,260,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",I zoi symfona me tin katichisi,Η ζωή σύμφωνα με την κατήχηση,nan,Život podle katechismu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
260,261,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",O panajos episkopos Andrei,Ο πανάγιος επίσκοπος Αντρέι,,Nejsvětější vladyka Andrej,,,,,,,,,,,,,,,,,,,nan,nan
261,262,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O Ivan Ivanovits apo tin Ufa,Ο Ιβάν Ιβάνοβιτς από την Ούφα,nan,Ivan Ivanovič z Ufy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
262,263,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",O bakalolistis Bulakulin tis Ufa,Ο μπακαλοληστής Μπουλακουλίν της Ούφα,,O ufském lupiči hokynáři Balakulinovi,,,,,,,,,,,,,,,,,,,nan,nan
263,264,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Vae victis,nan,nan,Vae victis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
264,265,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",O stratos tu navarchu Koltsak,Ο στρατός του ναύαρχου Κολτσάκ,,Armáda admirála Kolčaka,,,,,,,,,,,,,,,,,,,nan,nan
265,266,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O Skoropandski tis Sivirias,Ο Σκοροπάντσκι της Σιβηρίας,nan,Sibiřská Skoropadština,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
266,267,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Apo to imerolojo tu papa-Maljut tu syndagmatos Iisus Christos,Από το ημερολόγιο του παπα-Μαλγιούτ του συντάγματος Ιησούς Χριστός,,Deník popa Maljuty,,,,,,,,,,,,,,,,,,,nan,nan
267,268,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Apo tis diathesis ton Lefkofruron,Από τις διαθέσεις των Λευκοφρουρών,nan,Z bělogvardějských nálad,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
268,269,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",O Christos ke i papades,Ο Χριστός και οι παπάδες,,Kristus a popi,,,,,,,,,,,,,,,,,,,nan,nan
269,270,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O diachosrismos tis ekklisias apo to kratos,Ο διαχωρισμός της εκκλησίας από το κράτος,nan,Co je to odluka církve od státu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
270,271,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I katepsygmeni grafiokratia stis sovietikes dimosies ypiresies,Η κατεψυγμένη γραφειοκρατεία στις σοβιετικές δημόσιες υπηρεσίες,,Zamrzlí úředníci v sovětských úřadech,,,,,,,,,,,,,,,,,,,nan,nan
271,272,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Me tin efkeria tis jortis,Με την ευκαιρία της γιορτής,nan,K svátku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
272,273,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Thrini ke odyrmi apo tin Japonia,Θρήνοι και οδυρμοί από την Ιαπωνία,,Nářek z Japonska,,,,,,,,,,,,,,,,,,,nan,nan
273,274,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ena thavma tis jermanikis andepanastasis sti Siviria,Ένα θαύμα της γερμανικής αντεπανάστασης στη Σιβηρία,nan,Obeť německé kontrarevoluce na Sibiři,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
274,275,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Diikitis tis polis Bungulma,Διοικητής της πόλης Μπουγκούλμα,,Velitelem města Bugulmy,,,,,,,,,,,,,,,,,,,nan,nan
275,276,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ypaspistis tu stratiotiku diikiti tis polis Bungulma,Υπασπιστής του στρατιωτικού διοικητή της πόλης Μπουγκούλμα,nan,Adjutantem velitele města Bugulmy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
276,277,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I Litania tu Stavru,Η Λιτανεία του Σταυρού,,"""Krestný chod""",,,,,,,,,,,,,,,,,,,nan,nan
277,278,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Se stratijikes dyscheries,Σε στρατηγικές δυσχέρειες,nan,V strategických nesnázích,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
278,279,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I endoxes meres tis Bungulma,Οι ένδοξες μέρες της Μπουγκούλμα,,Slavné dny Bugulmy,,,,,,,,,,,,,,,,,,,nan,nan
279,280,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Nei kindyni,Νέοι κίνδυνοι,nan,Nová nebezpečí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
280,281,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",To chorio tu Potemkin,Το χωριό του Ποτέμκιν,,Potěmkinovy vesnice,,,,,,,,,,,,,,,,,,,nan,nan
281,282,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Dyscheries me tus echmalotus,Δυσχέρειες με τους αιχμαλώτους,nan,Nesnáze se zajatci,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
282,283,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Brosta sto epanastatiko dikastirio tu anatoliku metopu,Μπροστά στο επαναστατικό δικαστήριο του ανατολικού μετώπου,,Před revolučním tribunálem východní fronty,,,,,,,,,,,,,,,,,,,nan,nan
283,284,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Mia mikri parexijisi,Μια μικρή παρεξήγηση,nan,Malé nedorozumění,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
284,285,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Gramma tu Jaroslav Hašek ston Salat-Petrlik,Γράμμα του Γιάροσλαβ Χάσεκ στον Σάλατ-Πέτρλικ,,Jaroslav Hašek o sobě,,,,,,,,,,,,,,,,,Dopis Jaroslavu Salátovi,,nan,nan
285,286,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ke ektinaxon ton koniorton ek ton podon...,Και εκτίναξον τον κονιορτόν εκ των ποδών...,nan,I vyklepal prach z obuvi své,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
286,287,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Ja tin kyria Olga Fastrova,Για την κυρία Όλγα Φάστροβα,,Za Olgou Fastrovou,,,,,,,,,,,,,,,,,,,nan,nan
287,288,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Idyllia apo mia taverna,Ειδύλλια από μια ταβέρνα,nan,Idyla z vinárny,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
288,289,část knihy,248,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I exomolojisi mu,Η εξομολόγησή μου,,Moje zpověď,,,,,,,,,,,,,,,,,,,nan,nan
289,290,část knihy,248,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Pos synandithika me to syndakti tis nekrolojias mu,Πώς συναντήθηκα με το συντάκτη της νεκρολογίας μου,nan,Jak jsem se setkal s autorem svého nekrologu,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
290,291,kniha,,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Thelete na dite ti Chrysi Praga?,Θέλετε να δείτε τη Χρυσή Πράγα;,Metafrasi Rene Psyruki,Automat Svět,gre,cze,,,Atény (Řecko) : Eolos,Αίολος,Xeni logotechnia,Ξένη λογοτεχνία,,,223,1981,,"Psyruki, Rene (trl)","Ψυρούκη, Ρενέ",,,,nan,nan
291,292,kniha,nan,antologie,překlad,nan,,Megali syngrafis grafun tis pio mikres istories tu kosmu,Μεγάλοι συγγραφείς γράφουν τις πιο μικρές ιστορίες του κόσμου,nan,originál neexistuje,gre,nan,nan,nan,Atény (Řecko) : Gnosi,Γνώση,nan,nan,nan,nan,255,2013,978-960-235-855-9,"Bikos, Andonis (trl)","Μπίκος, Αντώνης",nan,Autor antologie neuveden.,nan,nan,nan
