,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Doplnění názvu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
426,427,000751422,kniha,nan,celé dílo,překlad,nan,"Dvořáček, Jaroslav (",Tshekkoslovakia tänään,nan,nan,originál nenalezen,fin,cze,nan,nan,Praha (Československo): Orbis,nan,nan,nan,1955.0,D-03219,nan,nan,nemá číslované strany
427,428,006833795,kniha,nan,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut,IV. Etulinjoilla,nan,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,fin,cze,rus,nan,Leningrad (SSSR): Valtion Kustannusliike Kirja,nan,nan,189.0,1936.0,nan,Jalmari Virtanen (trl) § josef Lada (ill) § Leevi Aalto (ill),nan,nan
428,429,000819315,kniha,nan,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa,III. Kunniakas luhistuminen,nan,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,fin,cze,swe,nan,Helsinki (Finsko): Kirjailijain kustannusliike,nan,nan,339.0,1937.0,nan,Viljo Kajava (trl),nan,nan
429,430,000817713,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Salamanterisota,nan,nan,Válka s mloky,fin,cze,nan,nan,Porvoo (Finsko): Werner Söderström Osakeyhtiö,nan,nan,282.0,1938.0,nan,Reino Silvanto (trl),nan,nan
430,431,004764966,kniha,nan,celé dílo,překlad,nan,"Petiška, Eduard (jk01092720)",Maailman rikkain varpunen,nan,nan,O nejbohatším vrabci na světě,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1964.0,nan,Liisa Ryömä (trl) § Zdeněk Miler (ill),nan,nemá číslované strany
431,432,000735723,kniha,nan,celé dílo,překlad,nan,"Ludvík, Emil (jk01072546)",Satu omenapuusta,nan,nan,Jablůňka se zlatými jablky,fin,cze,nan,nan,Helsinki (Finsko): Tammi,Satu-sarja ; [3],nan,nan,1962.0,nan,Jaroslav Moravec § Marjatta Kurenniemi (trl) § František Freiwillig (ill),nan,nemá číslované strany
432,433,000735365,kniha,nan,celé dílo,překlad,nan,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai auton,nan,nan,Krtek a autíčko,fin,cze,nan,nan,Helsinki (Finsko): Tammi,Satu-sarja ; [ 2],nan,nan,1960.0,nan,Helena Pohjola (trl) § Zdeněk Miler (ill),nan,nemá číslované strany
433,434,000735362,kniha,nan,celé dílo,překlad,nan,"Ludvík, Emil (jk01072546)",Liian ahne kukko,nan,nan,O kohoutkovi a slepičce,fin,cze,nan,nan,Helsinki (Finsko): Tammi,Satu-sarja ; [4],nan,nan,1959.0,nan,"Zdeněk Miler (edt, ill) § Helena Pohjola (trl)",nan,nemá číslované strany
434,435,000711957,kniha,nan,celé dílo,překlad,nan,"Smetana, Bedřich (jk01120043) § Sabina, Karel (jk01110239)",Myyty morsian,nan,nan,Prodaná nevěsta,fin,cze,ger,Die verkaufte Braut,Savonlinna (Finsko): Savonlinnan oopperajuhlat,nan,nan,35.0,1991.0,nan,Jussi Törnwall (trl) § Tarja Ylitalo-Svärd (trl),libreto,dvojjazyčné vydání - finsky a německy
435,436,000829042,kniha,nan,celé dílo,překlad,nan,"Smetana, Bedřich (jk01120043) § Sabina, Karel (jk01110239)",Myyty morsian,libretto,nan,Prodaná nevěsta,fin,cze,nan,nan,Pori (Finsko): Porin ooppera : Porin teatteri : Pori sinfonietta,nan,nan,32.0,1995.0,nan,Jussi Tapola (trl),libreto,nan
436,437,000715195,kniha,nan,celé dílo,překlad,nan,"Janáček, Leoš (jk01050745)",Ovela Kettu eli kettu Visukorvan seikkailuja,nan,Rudolf Těsnohlídekin tarinoiden mukaan,Příhody lišky Bystroušky,fin,cze,nan,nan,Lahti (Finsko): Lahden kaupunginteatteri,nan,nan,36.0,1990.0,nan,Kirsti Siraste (trl),nan,nan
437,438,000711955,kniha,nan,celé dílo,překlad,nan,"Dvořák, Antonín (jn19981000826) § Kvapil, Jaroslav (jk01071151)",Rusalka - tarina vedenneidosta - the story of a naiad,libretto,nan,Rusalka,fin,cze,nan,nan,Savonlinna (Finsko): Savonlinnan oopperajuhlat,nan,nan,22.0,1991.0,nan,Jussi Törnwall (trl),libreto,dvojjazyčné vydání - finsky a anglicky
438,439,000938833,kniha,nan,celé dílo,překlad,nan,"Večerková, Eva (ola200205975)",Munia Määristä,nan,nan,Kraslice na Moravě,fin,cze,nan,nan,Tampere (Finsko): Tampereen kaupunki,nan,nan,nan,2003.0,951-609-190-3,Eero Balk (trl) § Silvie doleželová (ill) § Jaromir Večerka (ill) § Reetta Lepistö (ill),text k výstavě,nemá číslované strany
439,440,000739830,kniha,nan,celé dílo,překlad,nan,"Štochl, Sláva (jk01131447)",Terrin toverit,nan,nan,originál nenalezen,fin,cze,nan,nan,Helsinki (Finsko): Tammi,nan,nan,87.0,1960.0,nan,Marjatta Kurenniemi (trl) § Václav Bláha (ill),kniha fotografií zvířat s krátkými komentáři,nan
440,441,011528017,kniha,nan,celé dílo,překlad,nan,"Malík, Jan (jk01073238) § Pavlík, Milan (jk01092126)",Pallo-Puuhakas,nan,nan,Míček Flíček,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1968.0,nan,Marja Lallo (trl) § Helena Zmatlíková (ill),nan,nemá číslované strany
441,442,000667939,kniha,nan,celé dílo,překlad,nan,"Tichý, Jaroslav (jk01132421)",Lentävä matto,Tarinoita Kazahstanista ja Uzbekistanista,nan,Kouzelný koberec - pohádky z Kazachstánu a Uzbekistánu vypravuje Jaroslav Tichý,fin,cze,ger,Der fliegende Teppich,Helsinki (Finsko): Weilin+Göös,nan,nan,227.0,1970.0,S 2613,Eila Kivikkaho (trl) § Miloslav Troup (ill),nan,nan
442,443,nan,část knihy,442.0,celé dílo,nan,nan,nan,Kolme veljestä,nan,nan,Tři bohatýři,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
443,444,nan,část knihy,442.0,celé dílo,nan,nan,nan,Varas ja neropatti,nan,nan,Chytrák a zloděj,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
444,445,nan,část knihy,442.0,celé dílo,nan,nan,nan,Baltekein ratkaisu,nan,nan,Soud Baltekejův,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
445,446,nan,část knihy,442.0,celé dílo,nan,nan,nan,Aulis ja kitupiikki,nan,nan,Štědrý a lakomý,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
446,447,nan,část knihy,442.0,celé dílo,nan,nan,nan,Neljäkymmentä valhetta,nan,nan,Čtyřicet lží,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
447,448,nan,část knihy,442.0,celé dílo,nan,nan,nan,Köyhä mies ja kaani,nan,nan,Chudák a chán,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
448,449,nan,část knihy,442.0,celé dílo,nan,nan,nan,Nasreddinin kujeet,nan,nan,Žerty Nasreddina Taškáře,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
449,450,nan,část knihy,442.0,celé dílo,nan,nan,nan,Šeikki ryövärinä,nan,nan,Šáh zlodějem,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
450,451,nan,část knihy,442.0,celé dílo,nan,nan,nan,Viisas Ajaz,nan,nan,Moudrý Ajaz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
451,452,nan,část knihy,442.0,celé dílo,nan,nan,nan,Naaraskarhun poika,nan,nan,Syn medvědice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
452,453,nan,část knihy,442.0,celé dílo,nan,nan,nan,Näkymätön varas,nan,nan,Neviditelný zloděj,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
453,454,nan,část knihy,442.0,celé dílo,nan,nan,nan,Farhad ja Širin,nan,nan,Farhád a Šírín,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
454,455,nan,část knihy,442.0,celé dílo,nan,nan,nan,Aldar Irvihampaan seikkailuja I,nan,nan,Příhody Aldara Šprýmaře I,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
455,456,nan,část knihy,442.0,celé dílo,nan,nan,nan,Kamak ja Mihtar,nan,nan,Kamak a Michtar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
456,457,nan,část knihy,442.0,celé dílo,nan,nan,nan,Antelias Ahmed,nan,nan,O štědrém Achmedovi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
457,458,nan,část knihy,442.0,celé dílo,nan,nan,nan,Kun taivaalta tupsahti toinenkin pannukakku,nan,nan,"V den, kdy padají z nebe vdolky",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
458,459,nan,část knihy,442.0,celé dílo,nan,nan,nan,Kultatukka,nan,nan,Zlatohlávek,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
459,460,nan,část knihy,442.0,celé dílo,nan,nan,nan,Palava kivi,nan,nan,Planoucí kámen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
460,461,nan,část knihy,442.0,celé dílo,nan,nan,nan,Tulpar,nan,nan,Tulpar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
461,462,nan,část knihy,442.0,celé dílo,nan,nan,nan,Badal,nan,nan,Badal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
462,463,nan,část knihy,442.0,celé dílo,nan,nan,nan,Pöyhkeä emiiri ja hänen tyttärensä,nan,nan,Zpupný vladař a jeho dcera,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
463,464,nan,část knihy,442.0,celé dílo,nan,nan,nan,Aldar Irvihampaan seikkailuja II,nan,nan,Příhody Aldara Šprýmaře II,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
464,465,002047437,kniha,nan,celé dílo,překlad,nan,"Smetana, Bedřich (jk01120043) § Sabina, Karel (jk01110239)",Myyty morsian,3-näytoksien koomillinen ooppera,nan,Prodaná nevěsta,fin,cze,nan,nan,Helsinki (Finsko): Suomalainen Ooppera O.-Y.,nan,nan,56.0,1927.0,nan,Toivo Wallenius (trl),libreto,nan
465,466,000741214,kniha,nan,celé dílo,překlad,nan,"Gottwald, Klement (jk01032566)",Tshekkoslovakian kommunistinen puolue taistelussa yhteisrintaman puolesta,Kominternin VII maailmankongressissa elokuun 7 p:nä 1935 pidetty puhe,nan,nan,fin,cze,nan,nan,Petroskoi (SSSR): Valtion kustannusliike Kirja,nan,nan,25.0,1936.0,nan,nan,proslov,není uveden překladatel
466,467,006579162,kniha,nan,celé dílo,překlad,nan,"Pavlík, Milan (jk01092126)",Missä on teddikarhu?,nan,nan,Kde je Míša?,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1962.0,S 1161,Elvi Sinervo (trl) § Divica Landrová (ill) § Eduard Hofman (edt),na motivy kresleného filmu,nemá číslované strany
467,468,000742720,kniha,nan,celé dílo,překlad,nan,"Miler, Zdeněk (jk01081695)",Myyrän lentoretki,nan,nan,Krtek a raketa,fin,cze,nan,nan,Helsinki (Finsko): Tammi,Satu-sarja ; [19],nan,nan,1966.0,S 1942,Marjatta Kurenniemi (trl),nan,nemá číslované strany
468,469,000735372,kniha,nan,celé dílo,překlad,nan,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai housut,nan,nan,Jak krtek ke kalhotkám přišel,fin,cze,nan,nan,Helsinki (Finsko): Tammi,Satu-sarja ; [1],nan,nan,1959.0,S 2171,Helena Pohjola (trl) § Zdeněk Miler (ill),nan,nemá číslované strany
469,470,006580004,kniha,nan,celé dílo,překlad,nan,"Ludvík, Emil (jk01072546)",Satu tuhmasta Kreetasta ja viisaasta Missusta,nan,nan,O líné holce,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1962.0,S 1156,Elvi Sinervo (trl) § Zdeněk Miler (ill) § Eduard Hofman (edt),na motivy českého kresleného filmu Lenora,nan
