,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
97,98,004860173,kniha,,celé dílo,překlad,,"Lusting, Arnošt (jk01072683)",Rukous Katarzyna Horowitzille,,Modlitba pro Kateřinu Horovitzovou,fin,cze,,,Helsinki (Finsko): Like,,,174.0,2008.0,978-952-01-0180-0,"Nina Saikkonen (trl, aft)",,"druhé vydání je naprosto stejné jako první, jen je ve formě paperbacku"
98,99,002483837,kniha,,celé dílo,překlad,,"Lusting, Arnošt (jk01072683)",Pimeydellä ei ole varjoa,,Tma nemá stín,fin,cze,,,Helsinki (Finsko): Like,,,230.0,2008.0,978-952-01-0143-5,"Nina Saikkonen (trl, aft)",věnováno prof. Jiřímu Fraňkovi,
99,100,003095681,kniha,,celé dílo,překlad,,"Páral, Vladimír (jk01091743)",Nuori mies ja valkoinen valas,Pieni kemiallinen eepos,Mladý muž a bílá velryba,fin,cze,,,Helsinki (Finsko): Kirjayhtymä,,,219.0,1985.0,951-26-2579-2,Leo Bessonoff (trl),,
100,101,005953533,kniha,,celé dílo,překlad,,"Lehečková, Helena (ola2003209157)",Hitsi vieköön! ,,K čertu!,fin,cze,,,Helsinki (Finsko): LURRA Editions,,,86.0,2011.0,9578-952-5850-20-8,Elli Kulmala (trl) § Marjo Kauppinen (trl) § Tanja Kielinen (trl) § Ilona Pallasvuo (trl) § Anu Turunen (ill),"podpořeno ambasádou České republiky v Helsinkách, překlad korigován samotnou autorkou",
101,102,006117860,kniha,,celé dílo,překlad,,"Weiss, Helga (jn20000728821)",Helgan päiväkirja,Nuorena tyttönä keskitysleirillä,Deník Helgy,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,223.0,2013.0,978-951-31-6788-2,"Eero Balk (trl) § Neil Bermel (cwt, aui, rozhovor s authorkou)",vydání obsahuje i rozhovor s autorkou ,
102,103,004752271,kniha,,celé dílo,překlad,,"Kolář, Jiří (jk01061244)",Kuin lasi puhdasta vettä,,Jako sklenka čisté vody,fin,cze,,,Helsinki (Finsko): Like,,,46.0,2005.0,951-471-635-6,Eero Balk (trl) § David Vaverka (trl) § Petr Řehoř (ill) § Yrjö Tuunanen (ill),,"dvojjazyčné vydání, obsahuje Kolářovy básně v originále i překladu"
103,104,006097524,kniha,,celé dílo,překlad,,"Rudiš, Jaroslav (xx0004127)",Punkin loppu Helsingissä,,Konec punku v Helsinkách,fin,cze,,,Helsinki (Finsko): Basam Books,,,288.0,2012.0,978-952-260-082-0,Eero Balk (trl),,
104,105,003287717,kniha,,celé dílo,překlad,,"Otčenášek, Jan (jk01091352)","Romeo, Julia ja pimeys",Romaani,"Romeo, Julie a tma",fin,cze,eng,,Helsinki (Finsko): Kustannutosakeyhtiö Otava,Moderneja kirjoilijoita ; pořadí neuvedeno,,160.0,1963.0,s.Hce.II.3690,Kyllikki Clément (trl),,neuveden  název anglického překladu
105,106,000973031,kniha,,celé dílo,překlad,,"Toman, Marek (js20020204004)",Saarenmaan valloitus,,Dobytí ostrova Saaremaa,fin,cze,,,Kärkölä (Finsko): Kustannus Oy Pieni Karhu,,,145.0,2007.0,978-952-5321-37-1,Eero Balk (trl) § Jan Ungrád (ill),vydáno za podpory programu Culture 2000 Evropské komise,
106,107,009846084,kniha,,celé dílo,překlad,,"Růžička, Oldřich (xx0004739)",Mistä tavarat tulevat,,Jak se co dělá,fin,cze,eng,How Things Are Made,Helsinki (Finsko): Kustannutosakeyhtiö Otava,,,,2017.0,978-951-1-30886-7,Iiris Kalliola (trl) § Alexandra Hetmerová (ill),,nemá číslované strany
107,108,003316302,kniha,,celé dílo,překlad,,"Lada, Josef (jk01071364)",Lukemista lapsille,,Dětem,fin,cze,ger,Für die Kinder,Helsinki (Finsko) : Weilin+Göös,,,47.0,1981.0,951-335-2142-7,Kaarina Helakisa (trl),,
108,109,002950693,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Kertomuksia,,,fin,cze,rus,,Petroskoi/Petrozavodsk (Rusko): Karjalais-Suomalaisen SNT:n valtion kustannusliike ,,,144.0,1954.0,s.FeKa.II.174,Leo Aalto (trl) § S. Nikolski (aui),,
109,110,005664744,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",R.U.R. ,"Rossum´s Universal Robots. Kolektiivinen draama, jossa on alkukomedia ja kolme näytöstä",R.U.R. Rossum´s Universal Robots. Kolektivní drama o vstupní komedii a třech dějstvích ,fin,cze,,,Turku (Finsko): Savukeidas,,,124.0,2009.0,978-952-5500-44-8,"Eero Balk (trl, aft)",,
110,111,000780365,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Insinööri Prokopin aivokuume,,Krakatit,fin,cze,swe,,Helsinki (Finsko): Urheilijain Kustannus Oy,,,373.0,1944.0,s.Hce.II.+3949,"Martti Jukola (trl, aui)",,není uveden název švédského překladu
111,112,003236091,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Salamanterisota,,Válka s mloky,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,WSOY Taskukirja ; pořadí neuvedeno,,282.0,1962.0,s. Hce.I.9162,Reino Silvanto (trl),,paperback
112,113,003151804,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Salamanterisota,,Válka s mloky,"
fin",cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,,,282.0,1992.0,951-0-18367-0,Reino Silvanto (trl),,zřejmě stejný překlad jako vydání z roku 1962
113,114,001639466,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Puutarhurin vuosi,,Zahradníkův rok,fin,cze,,,Hämeenlinna (Finsko): Arvi A. Karisto Osakeyhtiö,,,172.0,1961.0,s.Q.I.2325,Toivo Kalervo (trl) § Josef Čapek (ill),,
114,115,003095264,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Puutarhurin vuosi,,Zahradníkův rok,fin,cze,,,Hämeenlinna (Finsko): Arvi A. Karisto Osakeyhtiö,,,160.0,1984.0,951-23-2115-7,Toivo Kalervo (trl) § Josef Čapek (ill),,až na velikost formátu shodné s předchozím vydáním
115,116,000253372,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Puutarhurin vuosi,,Zahradníkův rok,fin,cze,,,Helsinki (Finsko): Basam Books,,,208.0,2002.0,952-9842-66-X,Eero Balk (trl) § Josef Čapek (ill),,
116,117,005902989,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Puutarhurin vuosi,,Zahradníkův rok,fin,cze,,,Helsinki (Finsko): Basam Books,,,208.0,2011.0,,Eero Balk (trl) § Josef Čapek (ill),,až na velikost formátu shodné s předchozím vydáním
117,118,000484354,kniha,,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Tanssitunteja aikuisille ja edistyneille,,Taneční hodiny pro starší a pokročilé,fin,cze,ger,Tanzstunden für Erwachsene und Fortgeschrittene (Frankfurt am Main 1965),Helsinki (Finsko): Kustannutosakeyhtiö Otava,Moderneja kirjailijoita ; pořadí neuvedeno,,94.0,1966.0,s.Hce.II.7779,Aarno Peromies (trl),,
118,119,003093909,kniha,,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Tanssitunteja aikuisille ja edistyneille,,Taneční hodiny pro starší a pokročilé,fin,cze,ger,Tanzstunden für Erwachsene und Fortgeschrittene (Frankfurt am Main 1965),Helsinki (Finsko): Kustannutosakeyhtiö Otava,Delfiinikirjat  ; pořadí neuvedeno,,94.0,1983.0,951-1-07188-2,Aarno Peromies (trl),,až na velikost formátu shodné s předchozím vydáním
119,120,004743381,kniha,,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Tarjoilin Englannin kuninkaalle,,Obsluhoval jsem anglického krále,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,,,260.0,1991.0,951-0-17205-7,Hannu Ylilehto (trl),,
120,121,000548958,kniha,,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Liian meluisa yksinäisyys,,Příliš hlučná samota,fin,cze,,,Jyväskylä (Finsko): Kustannusosakeyhtiö Kirjava,,,126.0,2008.0,978-952-5802-00-9,Eero Balk (trl) § Miloslava Slavíčková (aft),,Za podpory ministerstva kultury ČR
121,122,003281219,kniha,,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Kuinka myyrä sai housut,ja muita kertomuksia,originál neexistuje,fin,cze,ger,Wie der Maulwurf zu Hosen kam ,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1988.0,951-30-8963-0,Iva Hercíková § Eduard Petiška (autoři textu) § Zdeněk Miler (ill) § Maija-Liisa Vuorjoki (trl),,nemá číslované strany
122,123,,část knihy,122,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Koira joka halusi pentuja,,,,,,,,,,,,,,,
123,124,,část knihy,122,celé dílo,překlad,,"Hercíková, Iva (jk01040797)",Koira ja hunaja,,,,,,,,,,,,,,,
124,125,,část knihy,122,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Kuinka Myyrä sai housut,,Jak krtek ke kalhotkám přišel,,,,,,,,,,,,,
125,126,,část knihy,122,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Myyrän lentoretki,,,,,,,,,,,,,,,
126,127,,část knihy,122,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai auton ,,Krtek a autíčko,,,,,,,,,,,,,
127,128,003319114,kniha,,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Kuinka myyrä sai housut,ja muita kertomuksia,originál neexistuje,fin,cze,ger,Wie der Maulwurf zu Hosen kam ,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1996.0,951-31-0797-3,Iva Hercíková § Eduard Petiška (autoři textu) § Zdeněk Miler (ill) § Maija-Liisa Vuorjoki (trl),,nemá číslované strany
128,129,,část knihy,128,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Koira joka halusi pentuja,,,,,,,,,,,,,,,
129,130,,část knihy,128,celé dílo,překlad,,"Hercíková, Iva (jk01040797)",Koira ja hunaja,,,,,,,,,,,,,,,
130,131,,část knihy,"
000128",celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai housut,,Jak krtek ke kalhotkám přišel,,,,,,,,,,,,,
131,132,,část knihy,000128,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Myyrän lentoretki,,,,,,,,,,,,,,,
132,133,,část knihy,000128,celé dílo,"
překlad",,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai auton,,Krtek a autíčko,,,,,,,,,,,,,
133,134,	018299693,kniha,,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Kuinka myyrä sai housut ja muita kertomuksia,,,fin,cze,ger,Wie der Maulwurf zu Hosen kam ,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1979.0,951-30-2810-0,Iva Hercíková § Eduard Petiška (autoři textu) § Zdeněk Miler (ill) § Maija-Liisa Vuorjoki (trl),,nemá číslované strany
134,135,,část knihy,000134,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Koira joka halusi pentuja,,,,,,,,,,,,,,,
135,136,,část knihy,000134,celé dílo,překlad,,"Hercíková, Iva (jk01040797)",Koira ja hunaja,,,,,,,,,,,,,,,
136,137,,část knihy,000134,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai housut,,Jak krtek ke kalhotkám přišel,,,,,,,,,,,,,
137,138,,část knihy,000134,celé dílo,překlad,,"Miler, Zdeněk (jk01081695)",Myyrän lentoretki,,,,,,,,,,,,,,,
138,139,,část knihy,000134,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Kuinka myyrä sai auto,,Krtek a autíčko,,,,,,,,,,,,,
139,140,003281217,kniha,,celé dílo,překlad,,"Novotný, Josef Alois (jk01090719)",Myyrä kaupungissa,,Krtek ve městě,fin,cze,ger,Der Maulwurf in der Stadt,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1985.0,951-30-6238-4,Zdeněk Miler (ill) § Leena Krohn (trl),,nemá číslované strany
140,141,003319118,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän seitsemäs taivas,,Krtek v sedmém nebi,fin,cze,ger,Der Maulwurf im Siebten Himmel,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1987.0,951-30-6774-2,Zdeněk Miler (ill) § Marvi Jalo (trl),,nemá číslované strany
141,142,003319116,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä parantaa hiiren,,Jak krtek uzdravil myšku,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,85.0,1999.0,951-31-1445-7,Zdeněk Miler (ill) § Kirsti Siraste (trl) ,,
142,143,006018281,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja vihreä tähti,,Krtek a zelená hvězda,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,31.0,2012.0,978-951-31-6866-7,Zdeněk Miler (ill) § Kirsti Siraste (trl) ,,
143,144,000179407,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja vihreä tähti,,Krtek a zelená hvězda,fin,cze,ger,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,86.0,1998.0,951-31-1284-5,Zdeněk Miler (ill) § Marvi Jalo (trl),,neuveden název německého překladu
144,145,,část knihy,000144,celé dílo,překlad,,,Myyrä ja vihreä tähti,,Krtek a zelená hvězda,,,,,,,,,,,,,
145,146,,část knihy,000144,celé dílo,překlad,,,Myyrä ja sateenvarjo,,Krtek a paraplíčko,,,,,,,,,,,,,
146,147,,část knihy,000144,celé dílo,překlad,,,Myyrän seitsemäs taivas,,Krtek v sedmém nebi,,,,,,,,,,,,,
147,148,?003324517,kniha,,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Myyrän housut,,Jak krtek ke kalhotkám přišel,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,63.0,2006.0,978-951-31-1697-2,Zdeněk Miler (ill) § Kirsti Siraste (trl),,ISBN uvedeno i bez předčíslí 978
148,149,003319117,kniha,,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Myyrän auto,,Krtek a autíčko,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,63.0,1999.0,951-31-1712-X,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
149,150,003334070,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja kotka,,Krtek a Orel,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,78.0,2002.0,951-31-2305-7,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
150,151,003319115,kniha,,celé dílo,překlad,,"Novotný, Josef Alois (jk01090719)",Myyrä kaupungissa,,Krtek ve městě,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,79.0,2000.0,951-31-1848-7,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
151,152,007228547,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän talvi,,Krtek v zimě,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,69.0,2015.0,978-951-31-8723-3,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
152,153,,část knihy,000152,celé dílo,překlad,,,Myyrä ja lumiukko,,Krtek a sněhulák,,,,,,,,,,,,,
153,154,,část knihy,000152,celé dílo,překlad,,,Myyrän joulu,,Krtek a Vánoce,,,,,,,,,,,,,
154,155,003319120,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän talvi,,Krtek v zimě,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,67.0,1998.0,951-31-1376-0,Zdeněk Miler (ill) § Kirsti Siraste (trl) ,,
155,156,,část knihy,000155,celé dílo,překlad,,,Myyrä ja lumiukko,,Krtek a sněhulák,,,,,,,,,,,,,
156,157,,část knihy,155,celé dílo,překlad,,,Myyrä ja joulu,,Krtek a Vánoce,,,,,,,,,,,,,
157,158,006021384,kniha,,celé dílo,překlad,,"Černík, Michal (jk01021422)",Myyrän viikko,,Krtkův týden,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,2012.0,978-951-31-6842-1,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,nemá číslované strany
158,159,005619926,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän kevätleikit,,Krtek a jaro,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,2009.0,978-951-31-4606-1,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,nemá číslované strany
159,160,005269672,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän kesäleikit,,Krtek a léto,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,2009.0,978-951-31-4607-8,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,nemá číslované strany
160,161,005237063,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän syysleikit,,Krtek a podzim,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,2008.0,978-951-31-4373-2,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,nemá číslované strany
161,162,005989068,kniha,162,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä leikkii,,Krtkovy příhody od jara do zimy,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,53.0,2012.0,978-951-31-6701-1,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,
162,163,,část knihy,162,celé dílo,překlad,,,Myyrän kevätleikit,,,,,,,,,,,,,,,
163,164,,část knihy,162,celé dílo,překlad,,,Myyrän kesäleikit,,,,,,,,,,,,,,,
164,165,,část knihy,162,celé dílo,překlad,,,Myyrän syysleikit,,,,,,,,,,,,,,,
165,166,,část knihy,162,celé dílo,překlad,,,Myyrän talvileikit,,,,,,,,,,,,,,,
166,167,	011601391,kniha ,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja lumiukko,,Krtek a sněhulák,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,35.0,2006.0,978-951-31-3348-1,Zdeněk Miler (ill)  § Kirsti Siraste (trl),text již dříve součástí díla Myyrän talvi ,ISBN uvedeno i bez předčíslí 978
167,168,005918905,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän satuaarre,,Dětem Zdeněk Miler a Krtek,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,100.0,2011.0,978-951-31-5936-8,Zdeněk Miler (ill)  § Kirsti Siraste (trl),,
168,169,,část knihy ,168,celé dílo,překlad,,,Kukko ja kana (pohjana kansansatu),,,,,,,,,,,,,,,
169,170,,část knihy ,168,celé dílo,překlad,,"Hrubín, František (jk01042920)",Kananpoika ja viljat ,,Kuřátko a obilí ,,,,,,,,,,,,,
170,171,,část knihy,168,celé dílo,překlad,,,Laiska Reetta (pohjana kansansatu),,,,,,,,,,,,,,,
171,172,,část knihy,168,celé dílo,překlad,,,Utelias koiranpentu (Iva Hercíkováa mukaillen),,O zvědavém štěňátku,,,,,,,,,,,,,
172,173,,část knihy,168,celé dílo,překlad,,,Kuinka myyrä sai housut (Eduard Petiškaa mukaillen) ,,Jak krtek ke kalhotkám přišel,,,,,,,,,,,,,
173,174,,část knihy,168,celé dílo,překlad,,"Kožíšek, Josef (jk01062666)",Muurahainen sairastui,,Polámal se mraveneček,,,,,,,,,,,,,
174,175,,část knihy,168,celé dílo,překlad,,,Nyörimaakari hämähäkki (Inka Ciprováa mukaillen),,,,,,,,,,,,,,,
175,176,,část knihy,168,celé dílo,překlad,,,Jaakko Karhunen ja karhunsa Jassikka (Vladislav Vančura mukaillen),,,,,,,,,,,,,,,
176,177,,část knihy ,168,celé dílo,překlad,,,Myyrän auto (Eduard Petiškaa mukaillen),,Krtek a auto,,,,,,,,,,,,,
177,178,,část knihy,168,celé dílo,překlad,,"Čarek, Jan (jk01021064)",Iloinen veturi,,,,,,,,,,,,,,,
178,179,,část knihy,168,celé dílo,překlad,,,Maailman rikkain varpunen (Eduard Petiškaa mukaillen),,,,,,,,,,,,,,,
179,180,,část knihy,168,celé dílo,překlad,,,Kuski Puskin reissut (Václav Čtvrtekiä mukaillen),,,,,,,,,,,,,,,
180,181,,část knihy,168,celé dílo,překlad,,,Miten myyrä pelasti jäniksen (Hana Doskočilováa mukaillen) ,,,,,,,,,,,,,,,
181,182,,část knihy,168,celé dílo,překlad,,"Michalkov, Sergej (jo20010094273)",Minun koiranpentuni,,,,,,,,,,,,,,,
182,183,,část knihy,168,celé dílo,překlad,,,Satusetä (Eduard Petiškáa mukaillen),,,,,,,,,,,,,,,
183,184,,část knihy,168,celé dílo,překlad,,"Kainar, Josef (jk01052554)",Västäräkin pilkka,,,,,,,,,,,,,,,
184,185,006649397,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän sateenvarjo,,Krtek a paraplíčko,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,38.0,2014.0,978-951-31-7019-6,Zdeněk Miler (ill)  § Kirsti Siraste (trl),text byl dříve přeložen jako Myyrä ja sateenvarjo,
185,186,006018281,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja vihreä tähti,,Krtek a zelená hvězda,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,31.0,2012.0,978-951-31-6866-7,Zdeněk Miler (ill)  § Kirsti Siraste (trl),,
186,187,005653123,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja joulu,,Krtek a Vánoce,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,35.0,2009.0,978-951-31-5221-5,Zdeněk Miler (ill)  § Kirsti Siraste (trl),vyšlo již dříve v dílech Myyrän talvi,
187,188,003018432,kniha,,celé dílo,překlad,,"Žáček, Jiří (jk01152946)",Leikitään myyrän kanssa,,Říkáme si s krtkem,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,31.0,2007.0,978-951-31-3785-4,Zdeněk Miler (ill) § Ondřej Müller (edt) § Irena Tatíčková (edt) § Kirsti Siraste (trl),,
188,189,006263892,kniha,,celé dílo,překlad,,Kateřina Miler (jn19981001769),Myyrä ja kala,,Krtek a rybka,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,46.0,2013.0,978-951-31-70-50-9,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,
189,190,000256205,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä puhemiehenä,,Krtek a Maminka,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,54.0,2002.0,951-31-2511-4,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
190,191,000366912,kniha,,celé dílo,překlad,,Zdeněk Miler (jk01081695),Myyrän raketti,,Krtek a Raketa,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,47.0,2004.0,951-31-2006-6,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
191,192,	009950433,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrä ja sateenvarjo,,Krtek a paraplíčko,fin,cze,ger,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,39.0,2007.0,978-951-31-3340-5,Zdeněk Miler (ill) § Marvi Jalo (trl),"dříve vydáno jako součást sboru Myyrä ja vihreä tähti (1998), text je zřejmě pouze přebrán odtud a vydán samostatně",neuveden název německého překladu
192,193,006069864,kniha,,antologie,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän seikkailut,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,166.0,2012.0,978-951-31-6875-9,Zdeněk Miler (ill) § Kirsti Siraste (trl),,
193,194,,část knihy,193,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Myyrän housut,,Jak Krtek ke kalhotkám přišel,,,,,,,,,,,,,
194,195,,část knihy,193,celé dílo,překlad,,"Petiška, Eduard (jk01092720)",Myyrän auto,,Krtek a autíčko,,,,,,,,,,,,,
195,196,,část knihy,193,celé dílo,překlad,,,Myyrän sateenvarjo,,Krtek a paraplíčko,,,,,,,,,,,,,
196,197,	005237062,kniha,,celé dílo,překlad,,"Doskočilová, Hana (jk01022763)",Myyrän talvileikit,,Krtek a zima,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,2008.0,978-951-31-4372-5,Zdeněk Miler (ill) § Kateřina Miler (ill) § Kirsti Siraste (trl),,nemá číslované strany
197,198,000451666,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Kuolemattomuus,,Nesmrtelnost,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 72,,414.0,1992.0,951-0-17202-2,Kirsti Siraste (trl),druhé vydání,
198,199,000413970,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Jäähyväisvalssi,,Valčík na rozloučenou,fin ,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 71,,320.0,1987.0,951-0-14538-6,Kirsti Siraste (trl),druhé vydání,
199,200,002557180,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Jäähyväisvalssi,,Valčík na rozloučenou,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Best seller ; pořadí neuvedeno,,320.0,1992.0,951-0-18206-0,Kirsti Siraste (trl),paperbacková verze předešlého vydání,
200,201,003092656,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Elämä on toisaalla,,Život je jinde,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Kolibri-kirjasto ; 49,,298.0,1985.0,951-0-12788-4,Kirsti Siraste (trl),paperbackové druhé vydání,
201,202,	001386596,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Elämä on toisaalla,,Život je jinde,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; pořadí neuvedeno,,304.0,1991.0,951-0-07899-9,Kirsti Siraste (trl),,
202,203,018172962,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Elämä on toisaalla,,Život je jinde,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,,,568.0,2022.0,978-951-0-48946-8,Kirsti Siraste (trl),,
203,204,000520601,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Tšekkiläinen pila,,Žert,fin,cze,,,Porvoo (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 53,,350.0,1974.0,951-0-06248-0 (nid.) / 951-0-06249-9 (sid.),Maire Uusitalo (trl),,
